pid,item_id,group,pre_score_z,correct
P001,22,control,0.36088532406084306,1
P001,23,control,0.36088532406084306,1
P001,28,control,0.36088532406084306,0
P001,17,control,0.36088532406084306,1
P001,1,control,0.36088532406084306,0
P001,26,control,0.36088532406084306,1
P001,25,control,0.36088532406084306,0
P001,19,control,0.36088532406084306,0
P002,22,control,1.330100166536969,1
P002,23,control,1.330100166536969,0
P002,28,control,1.330100166536969,0
P002,17,control,1.330100166536969,0
P002,1,control,1.330100166536969,0
P002,26,control,1.330100166536969,0
P002,25,control,1.330100166536969,0
P002,19,control,1.330100166536969,0
P003,22,embodied,-0.6083295184152829,1
P003,23,embodied,-0.6083295184152829,0
P003,28,embodied,-0.6083295184152829,0
P003,17,embodied,-0.6083295184152829,0
P003,1,embodied,-0.6083295184152829,1
P003,26,embodied,-0.6083295184152829,0
P003,25,embodied,-0.6083295184152829,0
P003,19,embodied,-0.6083295184152829,0
P004,22,control,-1.092936939653346,0
P004,23,control,-1.092936939653346,0
P004,28,control,-1.092936939653346,0
P004,17,control,-1.092936939653346,0
P004,1,control,-1.092936939653346,0
P004,26,control,-1.092936939653346,0
P004,25,control,-1.092936939653346,0
P004,19,control,-1.092936939653346,0
P006,22,control,-0.12372209717721992,1
P006,23,control,-0.12372209717721992,1
P006,28,control,-0.12372209717721992,0
P006,17,control,-0.12372209717721992,0
P006,1,control,-0.12372209717721992,0
P006,26,control,-0.12372209717721992,1
P006,25,control,-0.12372209717721992,0
P006,19,control,-0.12372209717721992,0
P007,22,embodied,-0.6083295184152829,1
P007,23,embodied,-0.6083295184152829,1
P007,28,embodied,-0.6083295184152829,1
P007,17,embodied,-0.6083295184152829,0
P007,1,embodied,-0.6083295184152829,1
P007,26,embodied,-0.6083295184152829,1
P007,25,embodied,-0.6083295184152829,1
P007,19,embodied,-0.6083295184152829,0
P008,22,control,2.299315009013095,1
P008,23,control,2.299315009013095,1
P008,28,control,2.299315009013095,0
P008,17,control,2.299315009013095,0
P008,1,control,2.299315009013095,0
P008,26,control,2.299315009013095,1
P008,25,control,2.299315009013095,1
P008,19,control,2.299315009013095,1
P009,22,control,1.814707587775032,1
P009,23,control,1.814707587775032,1
P009,28,control,1.814707587775032,0
P009,17,control,1.814707587775032,0
P009,1,control,1.814707587775032,0
P009,26,control,1.814707587775032,1
P009,25,control,1.814707587775032,0
P009,19,control,1.814707587775032,0
P010,22,control,-0.6083295184152829,1
P010,23,control,-0.6083295184152829,1
P010,28,control,-0.6083295184152829,0
P010,17,control,-0.6083295184152829,0
P010,1,control,-0.6083295184152829,0
P010,26,control,-0.6083295184152829,1
P010,25,control,-0.6083295184152829,1
P010,19,control,-0.6083295184152829,0
P011,22,control,-0.6083295184152829,0
P011,23,control,-0.6083295184152829,1
P011,28,control,-0.6083295184152829,0
P011,17,control,-0.6083295184152829,0
P011,1,control,-0.6083295184152829,1
P011,26,control,-0.6083295184152829,0
P011,25,control,-0.6083295184152829,1
P011,19,control,-0.6083295184152829,0
P012,22,control,-0.6083295184152829,0
P012,23,control,-0.6083295184152829,1
P012,28,control,-0.6083295184152829,1
P012,17,control,-0.6083295184152829,1
P012,1,control,-0.6083295184152829,1
P012,26,control,-0.6083295184152829,0
P012,25,control,-0.6083295184152829,0
P012,19,control,-0.6083295184152829,0
P017,22,control,-0.6083295184152829,1
P017,23,control,-0.6083295184152829,1
P017,28,control,-0.6083295184152829,0
P017,17,control,-0.6083295184152829,1
P017,1,control,-0.6083295184152829,0
P017,26,control,-0.6083295184152829,1
P017,25,control,-0.6083295184152829,0
P017,19,control,-0.6083295184152829,0
P020,22,control,-1.092936939653346,0
P020,23,control,-1.092936939653346,0
P020,28,control,-1.092936939653346,1
P020,17,control,-1.092936939653346,0
P020,1,control,-1.092936939653346,1
P020,26,control,-1.092936939653346,0
P020,25,control,-1.092936939653346,0
P020,19,control,-1.092936939653346,0
P021,22,embodied,-0.12372209717721992,0
P021,23,embodied,-0.12372209717721992,1
P021,28,embodied,-0.12372209717721992,1
P021,17,embodied,-0.12372209717721992,0
P021,1,embodied,-0.12372209717721992,0
P021,26,embodied,-0.12372209717721992,0
P021,25,embodied,-0.12372209717721992,0
P021,19,embodied,-0.12372209717721992,0
P022,22,embodied,-0.6083295184152829,0
P022,23,embodied,-0.6083295184152829,1
P022,28,embodied,-0.6083295184152829,0
P022,17,embodied,-0.6083295184152829,0
P022,1,embodied,-0.6083295184152829,0
P022,26,embodied,-0.6083295184152829,1
P022,25,embodied,-0.6083295184152829,0
P022,19,embodied,-0.6083295184152829,0
P023,22,embodied,-0.12372209717721992,0
P023,23,embodied,-0.12372209717721992,1
P023,28,embodied,-0.12372209717721992,0
P023,17,embodied,-0.12372209717721992,0
P023,1,embodied,-0.12372209717721992,0
P023,26,embodied,-0.12372209717721992,0
P023,25,embodied,-0.12372209717721992,0
P023,19,embodied,-0.12372209717721992,0
