rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
1,100,0.15,Intercept,-0.18631785890893704,0.5927747876379293,-1.3338823875,1.0021815799999998
1,100,0.15,groupembodied,-0.24753835524235376,0.31938397858734546,-0.8706182495,0.3834210309999999
1,100,0.15,pre_score_z,0.6006274094575,0.14119555984819776,0.329215409,0.88064206125
1,100,0.4,Intercept,0.20431793967179623,0.4473263772675104,-0.6865838285,1.1015329824999998
1,100,0.4,groupembodied,0.3192829759775818,0.31762654339051927,-0.30462633575,0.9489804004999995
1,100,0.4,pre_score_z,0.16162711732545196,0.12805204241227733,-0.09002787354999997,0.40723877674999986
1,100,0.87,Intercept,0.10284301373998514,0.4272614982562633,-0.7480457959999999,0.9482178284999997
1,100,0.87,groupembodied,0.92952100483655,0.27009802192281757,0.396054615,1.4685772899999998
1,100,0.87,pre_score_z,0.20634894574302462,0.13344117885011722,-0.054893527775,0.4702263447499998
1,100,1.39,Intercept,0.27579129923399526,0.6117466170726952,-0.9545947795,1.489970919999999
1,100,1.39,groupembodied,1.18840873456875,0.32410676843652253,0.567965487,1.8331905824999994
1,100,1.39,pre_score_z,0.1933687329588791,0.16419910665183335,-0.12685512475,0.523125257
1,150,0.15,Intercept,0.2668465178372385,0.4983605276346759,-0.744274486,1.2292976175
1,150,0.15,groupembodied,0.2827581906437536,0.2864806212241054,-0.280376258,0.8454069705
1,150,0.15,pre_score_z,0.332911333706475,0.12694801476731069,0.085898495675,0.5860782874999998
1,150,0.4,Intercept,0.14736195070678124,0.41732687615853487,-0.66721775175,0.9938479367499998
1,150,0.4,groupembodied,0.29117118580301576,0.274451974994162,-0.259667695,0.8307788147499998
1,150,0.4,pre_score_z,0.24785453623026749,0.10874290215673788,0.03883635775000001,0.4681113409999999
1,150,0.87,Intercept,0.6914038952164875,0.5533684552760291,-0.44779500149999996,1.7706201249999998
1,150,0.87,groupembodied,0.5834198010658932,0.27088888647154546,0.04976060967500001,1.1138667524999994
1,150,0.87,pre_score_z,0.357934027425425,0.12188265057663085,0.11745384325,0.60153968225
1,150,1.39,Intercept,-0.07623147711796752,0.5111859195261195,-1.0991276625000002,0.9592364009999998
1,150,1.39,groupembodied,1.227401037555,0.23123593860702044,0.78022394175,1.6739767149999998
1,150,1.39,pre_score_z,0.24503602788861625,0.1103073141510949,0.037898335475,0.46485300949999986
1,200,0.15,Intercept,-0.23549381560872998,0.5046919079128751,-1.245829415,0.7703646242499997
1,200,0.15,groupembodied,0.32814851536705714,0.19715002564896966,-0.06005328579999999,0.7157223987499999
1,200,0.15,pre_score_z,0.19796139029955,0.08542003391492783,0.033776951300000004,0.3646771525
1,200,0.4,Intercept,-0.8624644580285638,0.5107366737393341,-1.86130284,0.15481345174999997
1,200,0.4,groupembodied,0.5936368344403362,0.22038837859155289,0.16385606325,1.0326868299999998
1,200,0.4,pre_score_z,0.435914541929625,0.10312897998514599,0.23587734925,0.642104196
1,200,0.87,Intercept,0.019486440965057496,0.37132211855967473,-0.72887850775,0.7606482914999999
1,200,0.87,groupembodied,0.7443621266789625,0.22376920266351316,0.30346014600000004,1.1895826925
1,200,0.87,pre_score_z,0.393342029867075,0.112670184164901,0.171993366,0.6145948564999998
1,200,1.39,Intercept,-0.5152048440165288,0.3541724952496882,-1.2114054125,0.17681094399999991
1,200,1.39,groupembodied,1.30401082501,0.22471831663982733,0.85267596225,1.7540165325
1,200,1.39,pre_score_z,0.45762881944925,0.09128274927379314,0.27985751175,0.6375762977499998
2,100,0.15,Intercept,-0.38498887095358914,0.3168166103400153,-1.02058047,0.2521615922499998
2,100,0.15,groupembodied,0.46819961071688776,0.2580541932802951,-0.038929098324999994,0.9732402214999999
2,100,0.15,pre_score_z,0.520106151881125,0.13324186932131005,0.26995378625,0.791470519
2,100,0.4,Intercept,0.29177305178848684,0.5645012402894881,-0.8191207282499999,1.443739935
2,100,0.4,groupembodied,0.389526242576575,0.30236880875273087,-0.21271065925000002,0.98694121225
2,100,0.4,pre_score_z,-0.04913456407110513,0.1478911571295471,-0.33951521700000004,0.24077634124999986
2,100,0.87,Intercept,-0.7014968070578625,0.5296192639479855,-1.7683332600000001,0.3509289494999998
2,100,0.87,groupembodied,0.7881799335455875,0.26131996316187217,0.281385601,1.3125292425000001
2,100,0.87,pre_score_z,0.23043687061611587,0.15065270019420682,-0.064283163,0.5259022067499999
2,100,1.39,Intercept,0.44668409140807913,0.2964233571314852,-0.135083705,1.0501949299999997
2,100,1.39,groupembodied,1.108810190487125,0.28503273243234956,0.55976579175,1.6810909074999998
2,100,1.39,pre_score_z,0.43504742173396876,0.13836228831066155,0.16134804925,0.7077412224999999
2,150,0.15,Intercept,0.7720994549140338,0.3708960108403425,0.03857728202500001,1.4881706224999998
2,150,0.15,groupembodied,0.022752817269393124,0.3025873250470691,-0.5731191772500001,0.62347064325
2,150,0.15,pre_score_z,0.257553065097694,0.1278897379144518,0.012052763200000007,0.5118597617499999
2,150,0.4,Intercept,-0.18162157720715846,0.5542662848655219,-1.2691427949999998,0.9291777292499985
2,150,0.4,groupembodied,0.5744642524741512,0.28424598782899957,0.020509740475000027,1.1430871149999997
2,150,0.4,pre_score_z,0.242946813328636,0.11372081062644834,0.016485908925000004,0.46525793799999987
2,150,0.87,Intercept,-0.3714067449875825,0.4939936308787107,-1.3651135274999997,0.5923363377499976
2,150,0.87,groupembodied,0.5040628542426787,0.25240118254350585,0.012449611225000054,1.0004819749999998
2,150,0.87,pre_score_z,0.2788979084089676,0.10805083678880201,0.0691357782,0.4930613379999998
2,150,1.39,Intercept,-0.31595733526088565,0.5826069872726434,-1.4555938549999998,0.8454845954999999
2,150,1.39,groupembodied,0.9642565545873125,0.27710108883990275,0.40449549975,1.4862611875
2,150,1.39,pre_score_z,0.2890436628915275,0.1056676530422108,0.07875715397500001,0.49656514949999997
2,200,0.15,Intercept,-0.22042740015027273,0.49912018178010636,-1.225560695,0.7634793259999997
2,200,0.15,groupembodied,0.0434080473085043,0.2098479555079382,-0.37788841500000003,0.4502581329999997
2,200,0.15,pre_score_z,0.2419735564783725,0.1028389005446952,0.042208046975,0.4443140945
2,200,0.4,Intercept,-0.672859858579935,0.5065805335423832,-1.684217115,0.3619644859999993
2,200,0.4,groupembodied,0.367575386824498,0.24636230799783274,-0.11216349899999999,0.8441907234999999
2,200,0.4,pre_score_z,0.16131737032984825,0.09832698904796551,-0.026823046649999984,0.35443902024999996
2,200,0.87,Intercept,0.712205615826975,0.40739736918228914,-0.11633840699999996,1.4969698499999997
2,200,0.87,groupembodied,1.024098126537625,0.24399009990575887,0.542986865,1.5104581824999999
2,200,0.87,pre_score_z,0.27687370275012274,0.12127187625736698,0.038182985425,0.516378256
2,200,1.39,Intercept,0.6186233964012813,0.5077929113031642,-0.42075584174999997,1.5952376449999996
