subj_n,b1,parameter,Estimate,.lower,.upper,.width,.point,.interval
100,0.15,groupembodied,0.12071181886961208,-0.33128683917381624,0.5902619754478597,0.95,median,qi
100,0.15,Intercept,-0.14703981576881012,-1.0012845009377151,0.7262004932201421,0.95,median,qi
100,0.15,pre_score_z,0.2751199598117756,0.09474478175006382,0.5411812762358967,0.95,median,qi
100,0.4,groupembodied,0.38753504115146953,-0.09148292381964172,0.8599212365581896,0.95,median,qi
100,0.4,Intercept,-0.206539330108155,-1.078098785210589,0.7319451872549148,0.95,median,qi
100,0.4,pre_score_z,0.31224538426862813,0.025799813328518495,0.5493428516234676,0.95,median,qi
100,0.87,groupembodied,0.789543311566725,0.3529678853577867,1.2869203914584686,0.95,median,qi
100,0.87,Intercept,-0.17696797090549413,-1.2154431979769014,0.628374592420559,0.95,median,qi
100,0.87,pre_score_z,0.32505291872794656,0.07688663458934447,0.5906308831163123,0.95,median,qi
100,1.39,groupembodied,1.2788606555875,0.8060655359777329,1.7184465974551562,0.95,median,qi
100,1.39,Intercept,-0.09261716204366477,-0.9122820588050112,0.7109014601119211,0.95,median,qi
100,1.39,pre_score_z,0.30671525476542516,0.07784443530466939,0.502132995657794,0.95,median,qi
150,0.15,groupembodied,0.17371307167358607,-0.24204941080529918,0.5442630640605934,0.95,median,qi
150,0.15,Intercept,-0.14578714397041073,-0.9179173986913861,0.566811655833199,0.95,median,qi
150,0.15,pre_score_z,0.3001898869183319,0.10463317491414056,0.5340408473812812,0.95,median,qi
150,0.4,groupembodied,0.4193667844423571,0.03324683510928313,0.8037287970032709,0.95,median,qi
150,0.4,Intercept,-0.1492347491432626,-0.9962534970112511,0.6845220360341147,0.95,median,qi
150,0.4,pre_score_z,0.30899069568844695,0.07157361144876248,0.4607407319468062,0.95,median,qi
150,0.87,groupembodied,0.8077683036815875,0.40706617015974145,1.2542740892978808,0.95,median,qi
150,0.87,Intercept,-0.119235786384223,-0.8229490042151586,0.5621753335872445,0.95,median,qi
150,0.87,pre_score_z,0.33694015808419936,0.1511729781701735,0.5495355822719308,0.95,median,qi
150,1.39,groupembodied,1.290168202588875,0.8905048560554152,1.7125733874146867,0.95,median,qi
150,1.39,Intercept,-0.21774869757703597,-0.8991413595491614,0.5993478583300961,0.95,median,qi
150,1.39,pre_score_z,0.3331279908635625,0.0978945204591152,0.5170827843063625,0.95,median,qi
200,0.15,groupembodied,0.16961514645210113,-0.15025656979819807,0.4254347736995516,0.95,median,qi
200,0.15,Intercept,-0.11699303264108599,-0.8190707094555857,0.645783889638021,0.95,median,qi
200,0.15,pre_score_z,0.30733614557657496,0.11125838305559191,0.47266654654152807,0.95,median,qi
200,0.4,groupembodied,0.3937353960262787,-0.026284895480665413,0.7273841554689966,0.95,median,qi
200,0.4,Intercept,-0.2510696187099833,-1.2426679577800055,0.7687335237554767,0.95,median,qi
200,0.4,pre_score_z,0.3156063785394131,0.1560301526346169,0.49221417302253745,0.95,median,qi
200,0.87,groupembodied,0.8583090890098788,0.5108280126792569,1.2068760115384056,0.95,median,qi
200,0.87,Intercept,-0.2769280283369895,-1.0469851861765425,0.5275475054714203,0.95,median,qi
200,0.87,pre_score_z,0.3217067475088875,0.16573113269411793,0.45817841605084375,0.95,median,qi
200,1.39,groupembodied,1.3442875356118749,0.9823259275723739,1.7044862017484057,0.95,median,qi
200,1.39,Intercept,-0.21669667037832047,-0.8781037630262634,0.755338581748459,0.95,median,qi
200,1.39,pre_score_z,0.3087901247257819,0.12965972667056852,0.4947583303208624,0.95,median,qi
