pid,item_id,group,test_time,correct,pre_score_z
P001,22,control,post,0,0.36088532406084306
P001,23,control,post,1,0.36088532406084306
P001,28,control,post,1,0.36088532406084306
P001,17,control,post,1,0.36088532406084306
P001,1,control,post,0,0.36088532406084306
P001,26,control,post,0,0.36088532406084306
P001,25,control,post,1,0.36088532406084306
P001,19,control,post,0,0.36088532406084306
P002,22,control,post,1,1.330100166536969
P002,23,control,post,1,1.330100166536969
P002,28,control,post,0,1.330100166536969
P002,17,control,post,0,1.330100166536969
P002,1,control,post,1,1.330100166536969
P002,26,control,post,1,1.330100166536969
P002,25,control,post,0,1.330100166536969
P002,19,control,post,1,1.330100166536969
P003,22,embodied,post,1,-0.6083295184152829
P003,23,embodied,post,1,-0.6083295184152829
P003,28,embodied,post,0,-0.6083295184152829
P003,17,embodied,post,0,-0.6083295184152829
P003,1,embodied,post,0,-0.6083295184152829
P003,26,embodied,post,1,-0.6083295184152829
P003,25,embodied,post,1,-0.6083295184152829
P003,19,embodied,post,1,-0.6083295184152829
P004,22,control,post,0,-1.092936939653346
P004,23,control,post,0,-1.092936939653346
P004,28,control,post,0,-1.092936939653346
P004,17,control,post,0,-1.092936939653346
P004,1,control,post,0,-1.092936939653346
P004,26,control,post,0,-1.092936939653346
P004,25,control,post,0,-1.092936939653346
P004,19,control,post,0,-1.092936939653346
P006,22,control,post,1,-0.12372209717721992
P006,23,control,post,1,-0.12372209717721992
P006,28,control,post,1,-0.12372209717721992
P006,17,control,post,0,-0.12372209717721992
P006,1,control,post,0,-0.12372209717721992
P006,26,control,post,0,-0.12372209717721992
P006,25,control,post,1,-0.12372209717721992
P006,19,control,post,0,-0.12372209717721992
P007,22,embodied,post,1,-0.6083295184152829
P007,23,embodied,post,1,-0.6083295184152829
P007,28,embodied,post,1,-0.6083295184152829
P007,17,embodied,post,1,-0.6083295184152829
P007,1,embodied,post,1,-0.6083295184152829
P007,26,embodied,post,1,-0.6083295184152829
P007,25,embodied,post,1,-0.6083295184152829
P007,19,embodied,post,0,-0.6083295184152829
P008,22,control,post,1,2.299315009013095
P008,23,control,post,1,2.299315009013095
P008,28,control,post,1,2.299315009013095
P008,17,control,post,0,2.299315009013095
P008,1,control,post,0,2.299315009013095
P008,26,control,post,0,2.299315009013095
